game_id,game_date,DayOfWeek,location,game_duration,final_score_red,final_score_blue,winner,player_id,player_canonical_name,team_color,player_role,player_goals,player_own_goals,player_assists,player_saves,referee,attendance_count,season,recorded_by,rating_raw,player_comment
G003405,2025-09-17,Wednesday,GYM HALL,2641,0,5,BLUE,P0626,Diego Kim,RED,DEFENSE,0,0,4,7,CARLOS KIM,2,2024/2025,phone,,8 goals in one minute
G010730,2023-06-21,Wednesday,YNOV TOULOUSE,963,9,5,RED,P0786,Mohamed Kovacs,BLUE,DEFENSE,1,0,2,7,PLAYER1,3,2025,camera,3,ref biased
G024213,2025-05-01,Thursday,YNOV TOULOUSE,595,6,4,RED,P0436,Alex Morel,RED,ATTACK,4,0,5,1,CASEY FAURE,3,2024/2025,auto_recorder,,team spirit high
G001495,2023-03-21,Tuesday,BAR LE FOOS,3336,7,8,BLUE,P0180,Sam Andre,BLUE,ATTACK,7,0,2,1,NONE,3,2024/2025,referee,,beer spilled
G023192,2024-04-09,Tuesday,CAFETERIA (1ST FLOOR),460,2,7,BLUE,P0207,Casey Nakamura,BLUE,DEFENSE,7,0,4,1,NONE,,2024/2025,admin,3,amazing comeback!
G010385,2024-02-18,Sunday,GYM HALL,616,2,10,BLUE,P0752,Noah Lopez,BLUE,DEFENSE,2,0,4,6,MAYA ROSSI,4,2024/2025,player phone,,ref biased
G002097,2024-02-07,Wednesday,SALLE POLYVALENTE,489,7,5,RED,P0064,Ethan Garnier,RED,DEFENSE,4,0,0,3,PIERRE KIM,4,2025,player phone,4,beer spilled
G005414,2024-02-14,Wednesday,LAB 204,2006,9,8,RED,P0624,Morgan Kovacs,BLUE,DEFENSE,5,0,1,3,NONE,6,2023/2024,Discord Bot,,
G004893,2024-03-06,Wednesday,STUDENT HOUSE,539,0,7,BLUE,P0633,Camille Lopez,RED,ATTACK,0,0,2,3,NONE,,2024/2025,Discord Bot,3,no comment
G019312,2025-07-09,Wednesday,STUDENT HOUSE,942,10,0,RED,P0122,Jordan Richard,RED,ATTACK,8,0,5,9,NONE,2,2024/2025,GoPro,,beer spilled
G011011,2024-12-10,Tuesday,YNOV TOULOUSE,1116,0,8,BLUE,P0695,Jamie Martin,BLUE,DEFENSE,1,0,2,10,ISABELLA THOMAS,5,2024/2025,auto_recorder,3,ref biased
G007361,2025-02-26,Wednesday,GYM HALL,1227,10,0,RED,P0574,Youssef Lopez,BLUE,DEFENSE,0,0,2,9,NONE,4,2025,camera,2,8 goals in one minute
G006381,2024-11-05,Tuesday,LAB 204,1020,10,7,RED,P0624,Morgan Kovacs,BLUE,ATTACK,2,0,4,2,NONE,2,2025,auto_recorder,3,close match
G014317,2024-05-06,Monday,BAR LE FOOS,438,9,7,RED,P0622,Carlos Mercier,BLUE,DEFENSE,1,0,1,9,NONE,3,2024/2025,auto_recorder,,ref biased
G013101,2023-10-02,Monday,BAR LE FOOS,780,8,3,RED,P0576,Jordan Robert,RED,DEFENSE,0,0,2,5,NONE,3,2024/2025,Discord Bot,4,8 goals in one minute
G006508,2023-07-04,Tuesday,YNOV TOULOUSE,433,7,7,DRAW,P0455,Hugo Laurent,RED,ATTACK,1,0,5,1,NONE,8,2024/2025,auto_recorder,3,ref biased
G021891,2025-04-16,Wednesday,BAR LE FOOS,1492,9,7,RED,P0567,Camille Kovacs,RED,ATTACK,6,1,3,6,CASEY NAKAMURA,5,2023/2024,phone,,spectacular assist
G002962,2025-04-09,Wednesday,CAFETERIA (1ST FLOOR),688,7,10,BLUE,P0010,Ava Philippe,RED,DEFENSE,7,0,5,0,ERIC CLEMENT,4,2025,phone,3,ref biased
G022772,2023-08-27,Sunday,STUDENT HOUSE,501,7,2,RED,P0474,Mateo Laurent,BLUE,ATTACK,1,0,2,2,NONE,2,2024/2025,auto_recorder,,beer spilled
G020952,2023-06-01,Thursday,CAMPUS - CAFETERIA,602,3,5,BLUE,P0686,Liam Andre,RED,DEFENSE,3,0,4,7,PLAYER1,6,2024/2025,admin,,ref biased
G024627,2023-06-15,Thursday,BAR LE FOOS,960,4,2,RED,P0203,Diego Philippe,BLUE,ATTACK,2,0,5,0,NONE,8,2023/2024,phone,1,rage quit
G015938,2025-05-12,Monday,CAFETERIA (1ST FLOOR),2516,3,2,RED,P0774,Julie Girard,RED,DEFENSE,2,0,0,7,NONE,4,2024/2025,camera,,rage quit
G003655,2024-02-03,Saturday,CAMPUS - CAFETERIA,736,0,5,BLUE,P0046,Lena Garnier,BLUE,ATTACK,2,0,2,8,NONE,7,2024/2025,admin,3,
G018527,2024-08-23,Friday,GYM HALL,540,2,7,BLUE,P0465,Mateo Leroy,BLUE,DEFENSE,6,0,1,2,SAM SCHMIDT,7,2024/2025,camera,1,ref biased
G024082,2025-05-07,Wednesday,STUDENT HOUSE,1275,9,1,RED,P0553,Ethan Blanc,RED,ATTACK,0,0,0,1,NONE,8,2025,camera,,
G010131,2023-01-20,Friday,YNOV TOULOUSE,819,10,7,RED,P0513,Isabella Martin,BLUE,DEFENSE,1,0,3,6,LUCAS LAURENT,5,2025,GoPro,,ref biased
G022358,2023-08-09,Wednesday,GYM HALL,320,10,2,RED,P0144,Maria Faure,RED,DEFENSE,8,0,2,8,NONE,4,2025,referee,3,table slippery
G002750,2025-03-29,Saturday,YNOV TOULOUSE,1140,6,2,RED,P0161,Sarah Silva,RED,ATTACK,0,0,2,1,NONE,8,2024/2025,auto_recorder,4,team spirit high
G004112,2024-02-06,Tuesday,CAFETERIA (1ST FLOOR),810,3,9,BLUE,P0129,Maria Thomas,RED,DEFENSE,3,0,2,7,NONE,8,2024/2025,player phone,5,8 goals in one minute
G024029,2023-04-18,Tuesday,CAFETERIA (1ST FLOOR),3442,7,10,BLUE,P0349,Paul Clement,BLUE,DEFENSE,2,0,5,1,SAM MERCIER,8,2023/2024,phone,3,team spirit high
G011254,2024-12-10,Tuesday,CAFETERIA (1ST FLOOR),1125,7,7,DRAW,P0410,Casey Schmidt,RED,ATTACK,1,0,1,6,NONE,3,2024/2025,camera,,
G013921,2023-11-09,Thursday,GYM HALL,672,4,4,DRAW,P0002,Emma Richard,RED,ATTACK,2,0,4,1,CHRIS SILVA,6,2024/2025,GoPro,2,amazing comeback!
G016734,2024-05-16,Thursday,LAB 204,2023,4,5,BLUE,P0664,Eric Nakamura,RED,DEFENSE,0,0,4,6,MORGAN PETIT,2,2023/2024,phone,1,spectacular assist
G018763,2023-07-24,Monday,STUDENT HOUSE,1008,10,5,RED,P0493,Jordan Thomas,RED,ATTACK,9,0,2,0,NONE,3,2023/2024,camera,1,beer spilled
G009363,2024-06-15,Saturday,YNOV TOULOUSE,1162,5,0,RED,P0696,Sofia Leroy,RED,DEFENSE,5,0,2,2,NONE,4,2023/2024,phone,3,team spirit high
G018113,2023-01-23,Monday,BAR LE FOOS,1019,3,0,RED,P0076,Eric Garcia,RED,ATTACK,0,0,3,1,NONE,4,2023/2024,Discord Bot,,
G014783,2025-01-10,Friday,SALLE POLYVALENTE,454,8,4,RED,P0480,Jordan Clement,RED,ATTACK,8,0,2,10,MARIA GIRARD,7,2023/2024,player phone,3,close match
G009247,2023-06-19,Monday,STUDENT HOUSE,2208,1,10,BLUE,P0495,Olivia Laurent,BLUE,DEFENSE,0,0,0,8,CHRIS LOPEZ,8,2023/2024,camera,5,no comment
G000965,2024-10-06,Sunday,BAR LE FOOS,600,3,7,BLUE,P0750,Mateo Bernard,BLUE,DEFENSE,1,0,2,4,NONE,8,2024/2025,admin,5,ref biased
G000661,2023-11-07,Tuesday,GYM HALL,2626,4,0,RED,P0109,Noah Kim,RED,DEFENSE,2,0,4,3,NONE,5,2024/2025,Discord Bot,,table slippery
G012499,2025-09-02,Tuesday,LAB 204,469,6,9,BLUE,P0545,Olivia Mercier,RED,DEFENSE,3,0,1,2,NONE,7,2024/2025,Discord Bot,5,amazing comeback!
G006455,2025-06-15,Sunday,YNOV TOULOUSE,420,10,5,RED,P0428,Ethan Moreau,RED,DEFENSE,8,0,0,6,NONE,5,2024/2025,phone,,table slippery
G021690,2023-11-30,Thursday,LAB 204,1993,4,6,BLUE,P0651,Luc Rousseau,RED,DEFENSE,2,0,3,2,NONE,6,2023/2024,phone,2,close match
G017234,2025-10-06,Monday,LAB 204,300,4,1,RED,P0287,Julie Garcia,RED,ATTACK,0,0,2,5,SOFIA DURAND,,2025,GoPro,1,rage quit
G012093,2025-07-23,Wednesday,CAFETERIA (1ST FLOOR),1178,3,10,BLUE,P0344,Jamie Thomas,RED,ATTACK,2,0,3,5,NO,3,2025,auto_recorder,,spectacular assist
G015201,2023-11-24,Friday,BAR LE FOOS,547,7,1,RED,P0628,Riley Blanc,RED,DEFENSE,2,0,4,7,NONE,7,2024/2025,Discord Bot,,
G022404,2025-10-08,Wednesday,CAFETERIA (1ST FLOOR),1020,2,5,BLUE,P0025,Sam Rossi,BLUE,ATTACK,0,0,4,1,NONE,4,2024/2025,player phone,2,rage quit
G011591,2024-01-25,Thursday,YNOV TOULOUSE,660,8,2,RED,P0529,Riley Martin,BLUE,ATTACK,1,0,1,7,CARLOS GARCIA,4,2025,referee,,ref biased
G020295,2024-04-28,Sunday,YNOV TOULOUSE,631,8,6,RED,P0472,Diego Andre,BLUE,DEFENSE,0,0,3,6,PLAYER1,4,2024/2025,GoPro,2,8 goals in one minute
G004454,2023-05-21,Sunday,CAFETERIA (1ST FLOOR),844,8,5,RED,P0123,Taylor Nakamura,BLUE,ATTACK,2,0,0,10,MATEO GIRARD,6,2024/2025,auto_recorder,1,close match
G002687,2024-09-06,Friday,CAMPUS - CAFETERIA,874,7,0,RED,P0578,Jamie Kim,RED,ATTACK,2,0,2,1,ERIC LOPEZ,5,2024/2025,Discord Bot,5,beer spilled
G020181,2025-12-19,Friday,LAB 204,2028,1,5,BLUE,P0616,Julie Durand,BLUE,ATTACK,1,0,3,5,OLIVIA MULLER,2,2024/2025,GoPro,4,no comment
G011587,2025-04-04,Friday,CAFETERIA (1ST FLOOR),711,4,5,BLUE,P0366,Paul Garcia,BLUE,ATTACK,4,0,5,10,NONE,2,2024/2025,referee,3,spectacular assist
G024818,2024-07-08,Monday,CAMPUS - CAFETERIA,1122,3,0,RED,P0330,Carlos Blanc,BLUE,DEFENSE,0,0,5,1,ANTOINE FAURE,4,2023/2024,referee,,team spirit high
G012429,2024-05-14,Tuesday,GYM HALL,731,6,8,BLUE,P0430,Hugo Muller,RED,DEFENSE,5,0,4,1,NONE,7,2023/2024,auto_recorder,,8 goals in one minute
G012089,2024-03-30,Saturday,CAMPUS - CAFETERIA,1031,0,3,BLUE,P0399,Casey Bianchi,RED,ATTACK,0,0,2,1,NONE,2,2025,auto_recorder,1,team spirit high
G009785,2024-07-23,Tuesday,YNOV TOULOUSE,600,5,9,BLUE,P0778,Antoine Girard,RED,DEFENSE,4,0,5,2,JULIEN KOVACS,5,2025,referee,4,ref biased
G020866,2023-09-28,Thursday,CAMPUS - CAFETERIA,612,0,2,BLUE,P0023,Luc Andre,RED,ATTACK,0,0,1,9,NONE,4,2024/2025,Discord Bot,,rage quit
G004112,2024-02-06,Tuesday,CAFETERIA (1ST FLOOR),810,3,9,BLUE,P0016,Leo Silva,BLUE,ATTACK,1,0,0,7,NONE,8,2024/2025,player phone,5,
G004893,2024-03-06,Wednesday,STUDENT HOUSE,539,0,7,BLUE,P0146,Lucas Moreau,BLUE,DEFENSE,6,0,5,9,NONE,,2024/2025,Discord Bot,3,close match
G021515,2024-05-19,Sunday,CAMPUS - CAFETERIA,1020,3,3,DRAW,P0713,Camille Philippe,BLUE,DEFENSE,0,0,1,3,PIERRE ROSSI,4,2024/2025,auto_recorder,3,
G019249,2023-03-26,Sunday,STUDENT HOUSE,1200,0,1,BLUE,P0712,Chris Schmidt,BLUE,DEFENSE,0,0,1,7,NONE,4,2024/2025,referee,5,ref biased
G009955,2025-10-12,Sunday,BAR LE FOOS,540,9,6,RED,P0432,Ana Richard,RED,ATTACK,1,0,0,5,NONE,3,2024/2025,GoPro,,table slippery
G017764,2023-08-18,Friday,SALLE POLYVALENTE,571,2,1,RED,P0147,Lena Richard,BLUE,DEFENSE,0,0,3,2,NONE,4,2024/2025,GoPro,3,beer spilled
G014983,2024-02-02,Friday,BAR LE FOOS,920,2,4,BLUE,P0128,Youssef Robert,RED,DEFENSE,1,0,5,1,NONE,7,2024/2025,Discord Bot,3,spectacular assist
G005479,2023-08-28,Monday,YNOV TOULOUSE,801,0,3,BLUE,P0094,Pierre Morel,RED,DEFENSE,0,0,4,0,NONE,4,2025,GoPro,3,team spirit high
G001391,2023-05-07,Sunday,CAMPUS - CAFETERIA,414,0,3,BLUE,P0731,Morgan Richard,RED,ATTACK,0,0,1,4,ANA BLANC,4,2025,admin,1,table slippery
G019170,2024-04-01,Monday,CAMPUS - CAFETERIA,2550,10,4,RED,P0411,Olivia Schmidt,BLUE,DEFENSE,4,0,1,8,PLAYER1,4,2025,auto_recorder,4,rage quit
G008455,2024-11-22,Friday,CAMPUS - CAFETERIA,1008,4,9,BLUE,P0310,Maya Kovacs,BLUE,ATTACK,7,0,4,3,NONE,3,2024/2025,admin,1,amazing comeback!
G016972,2024-01-05,Friday,YNOV TOULOUSE,2619,6,7,BLUE,P0304,Chris Muller,BLUE,ATTACK,1,0,1,9,NONE,4,2024/2025,admin,,
G003784,2025-03-17,Monday,STUDENT HOUSE,563,0,5,BLUE,P0678,Olivia Laurent,RED,ATTACK,0,0,1,2,NONE,7,2025,GoPro,,rage quit
G019005,2025-11-12,Wednesday,LAB 204,1426,6,10,BLUE,P0019,Noah Bianchi,BLUE,DEFENSE,9,0,3,9,SAM GIRARD,5,2024/2025,camera,4,rage quit
G016832,2024-09-22,Sunday,GYM HALL,1140,7,2,RED,P0416,Paul Philippe,RED,ATTACK,5,0,0,6,NONE,,2024/2025,referee,3,table slippery
G019255,2024-04-22,Monday,STUDENT HOUSE,2566,1,10,BLUE,P0633,Camille Lopez,RED,ATTACK,0,0,0,2,CASEY MOREL,8,2023/2024,auto_recorder,4,spectacular assist
G022566,2024-10-09,Wednesday,BAR LE FOOS,960,8,4,RED,P0204,Isabella Laurent,BLUE,DEFENSE,1,0,1,2,NONE,4,2024/2025,GoPro,1,rage quit
G016702,2023-01-12,Thursday,GYM HALL,2631,10,2,RED,P0722,Isabella Leroy,RED,DEFENSE,6,0,2,2,LEO GARCIA,4,2024/2025,camera,2,8 goals in one minute
G008734,2023-08-13,Sunday,YNOV TOULOUSE,948,6,7,BLUE,P0114,Diego Faure,RED,DEFENSE,1,0,3,6,SAM FAURE,,2025,auto_recorder,,table slippery
G002002,2025-10-13,Monday,CAMPUS - CAFETERIA,857,2,3,BLUE,P0430,Hugo Muller,RED,ATTACK,0,0,0,0,NONE,3,2025,player phone,3,rage quit
G019170,2024-04-01,Monday,CAMPUS - CAFETERIA,2550,10,4,RED,P0292,Eric Laurent,BLUE,ATTACK,1,0,4,7,PLAYER1,4,2025,auto_recorder,4,beer spilled
G003825,2023-05-29,Monday,STUDENT HOUSE,2055,3,7,BLUE,P0638,Youssef Kovacs,BLUE,ATTACK,0,0,1,3,NONE,8,2023/2024,auto_recorder,3,spectacular assist
G015569,2025-10-01,Wednesday,CAMPUS - CAFETERIA,600,7,8,BLUE,P0642,Sofia Richard,BLUE,ATTACK,0,0,3,7,JULIEN MOREL,3,2023/2024,GoPro,3,no comment
G012093,2025-07-23,Wednesday,CAFETERIA (1ST FLOOR),1178,3,10,BLUE,P0292,Eric Laurent,BLUE,ATTACK,10,0,4,10,NO,3,2025,auto_recorder,,ref biased
G007429,2024-03-21,Thursday,GYM HALL,544,8,8,DRAW,P0070,Leo Schmidt,RED,DEFENSE,7,2,3,3,NONE,,2024/2025,auto_recorder,,ref biased
G001557,2024-02-14,Wednesday,YNOV TOULOUSE,3441,4,8,BLUE,P0292,Eric Laurent,BLUE,DEFENSE,5,0,1,10,LENA MERCIER,6,2025,admin,3,beer spilled
G008734,2023-08-13,Sunday,YNOV TOULOUSE,948,6,7,BLUE,P0573,Antoine Andre,BLUE,DEFENSE,7,0,0,0,SAM FAURE,,2025,auto_recorder,,beer spilled
G008824,2025-04-10,Thursday,YNOV TOULOUSE,574,2,7,BLUE,P0370,Jamie Andre,BLUE,DEFENSE,6,0,3,8,PLAYER1,5,2023/2024,auto_recorder,5,close match
G012945,2025-10-16,Thursday,GYM HALL,978,3,7,BLUE,P0484,Eric Mercier,BLUE,ATTACK,5,0,4,7,NONE,6,2024/2025,player phone,3,team spirit high
G024019,2023-06-26,Monday,YNOV TOULOUSE,1065,7,2,RED,P0724,Taylor Lopez,RED,ATTACK,6,0,5,5,NONE,6,2023/2024,phone,5,close match
G008373,2024-11-27,Wednesday,YNOV TOULOUSE,531,8,3,RED,P0564,Lena Martin,RED,ATTACK,8,0,0,0,NONE,,2025,camera,3,8 goals in one minute
G016990,2025-10-06,Monday,CAFETERIA (1ST FLOOR),720,0,8,BLUE,P0590,Riley Morel,RED,ATTACK,0,0,3,10,NONE,5,2023/2024,Discord Bot,,close match
G018635,2025-03-26,Wednesday,BAR LE FOOS,1020,2,9,BLUE,P0043,Taylor Andre,RED,DEFENSE,2,0,2,8,NONE,,2024/2025,auto_recorder,4,spectacular assist
G017234,2025-10-06,Monday,LAB 204,300,4,1,RED,P0507,Maya Rossi,RED,DEFENSE,1,0,1,1,SOFIA DURAND,,2025,GoPro,1,8 goals in one minute
G001692,2023-11-22,Wednesday,GYM HALL,1009,1,1,DRAW,P0419,Sarah Rousseau,RED,DEFENSE,1,0,2,1,DIEGO SILVA,4,2023/2024,GoPro,2,
G024627,2023-06-15,Thursday,BAR LE FOOS,960,4,2,RED,P0153,Hugo Petit,BLUE,DEFENSE,2,0,5,9,NONE,8,2023/2024,phone,1,spectacular assist
G016433,2025-01-09,Thursday,LAB 204,2902,6,6,DRAW,P0476,Lucas Laurent,RED,ATTACK,1,0,0,7,YOUSSEF KOVACS,3,2023/2024,GoPro,,rage quit
G012915,2023-05-12,Friday,SALLE POLYVALENTE,360,10,8,RED,P0503,Ana Laurent,BLUE,DEFENSE,3,0,5,2,NONE,5,2024/2025,GoPro,,beer spilled
G023267,2023-06-21,Wednesday,STUDENT HOUSE,2389,3,2,RED,P0189,Pierre Kim,BLUE,DEFENSE,0,0,1,7,PIERRE BIANCHI,4,2023/2024,GoPro,4,table slippery
G024631,2025-08-03,Sunday,YNOV TOULOUSE,550,7,5,RED,P0692,Sam Laurent,RED,ATTACK,3,2,0,8,NONE,,2024/2025,phone,4,amazing comeback!
G004929,2024-03-26,Tuesday,CAMPUS - CAFETERIA,346,9,2,RED,P0386,Luc Richard,BLUE,ATTACK,0,0,3,3,JAMIE MOREAU,4,2025,player phone,3,
G020015,2024-02-14,Wednesday,STUDENT HOUSE,540,10,4,RED,P0369,Lena Kim,BLUE,ATTACK,2,0,1,9,NONE,5,2024/2025,player phone,,close match
G006345,2023-08-06,Sunday,YNOV TOULOUSE,373,7,10,BLUE,P0187,Jamie Garcia,RED,ATTACK,5,0,5,7,NONE,3,2024/2025,admin,,
G006508,2023-07-04,Tuesday,YNOV TOULOUSE,433,7,7,DRAW,P0743,Antoine Robert,BLUE,ATTACK,6,0,5,7,NONE,8,2024/2025,auto_recorder,3,spectacular assist
G018539,2023-08-08,Tuesday,LAB 204,1850,0,7,BLUE,P0711,Isabella Rousseau,RED,ATTACK,0,0,0,2,NONE,6,2024/2025,phone,3,no comment
G014317,2024-05-06,Monday,BAR LE FOOS,438,9,7,RED,P0014,Ethan Moreau,BLUE,ATTACK,6,0,4,1,NONE,3,2024/2025,auto_recorder,,close match
G022803,2025-11-05,Wednesday,YNOV TOULOUSE,540,3,3,DRAW,P0302,Carlos Garcia,BLUE,ATTACK,3,0,5,7,SOFIA CLEMENT,3,2023/2024,referee,5,8 goals in one minute
G023807,2025-06-12,Thursday,GYM HALL,708,9,3,RED,P0334,Mila Bianchi,RED,ATTACK,5,0,0,7,NONE,6,2023/2024,Discord Bot,,
G023651,2023-12-19,Tuesday,GYM HALL,766,9,8,RED,P0496,Chris Richard,RED,DEFENSE,4,0,3,10,NONE,5,2023/2024,Discord Bot,1,ref biased
G022566,2024-10-09,Wednesday,BAR LE FOOS,960,8,4,RED,P0396,Mila Bianchi,RED,DEFENSE,2,0,3,3,NONE,4,2024/2025,GoPro,1,close match
G003405,2025-09-17,Wednesday,GYM HALL,2641,0,5,BLUE,P0664,Eric Nakamura,BLUE,ATTACK,0,0,5,5,CARLOS KIM,2,2024/2025,phone,,team spirit high
G020295,2024-04-28,Sunday,YNOV TOULOUSE,631,8,6,RED,P0181,Chris Blanc,BLUE,ATTACK,4,0,5,3,PLAYER1,4,2024/2025,GoPro,2,beer spilled
G017324,2025-08-22,Friday,GYM HALL,561,9,9,DRAW,P0337,Diego Morel,BLUE,DEFENSE,6,0,1,6,NONE,,2024/2025,Discord Bot,3,team spirit high
G000680,2025-11-17,Monday,SALLE POLYVALENTE,2727,3,8,BLUE,P0093,Eric Andre,BLUE,ATTACK,2,0,1,1,SAM MERCIER,3,2024/2025,player phone,4,table slippery
G001208,2023-06-14,Wednesday,CAFETERIA (1ST FLOOR),510,7,6,RED,P0202,Chloe Andre,RED,DEFENSE,5,0,3,1,CHLOE GARCIA,8,2024/2025,admin,3,no comment
G004602,2024-02-03,Saturday,GYM HALL,960,9,6,RED,P0069,Casey Thomas,BLUE,DEFENSE,0,0,5,9,LENA NAKAMURA,8,2023/2024,phone,,amazing comeback!
G012269,2023-07-18,Tuesday,YNOV TOULOUSE,540,8,7,RED,P0511,Chris Petit,RED,DEFENSE,7,0,3,3,NONE,,2024/2025,Discord Bot,,beer spilled
G004454,2023-05-21,Sunday,CAFETERIA (1ST FLOOR),844,8,5,RED,P0303,Maya Leroy,RED,DEFENSE,4,0,0,5,MATEO GIRARD,6,2024/2025,auto_recorder,1,
G019409,2023-12-05,Tuesday,YNOV TOULOUSE,1080,1,1,DRAW,P0455,Hugo Laurent,RED,DEFENSE,1,0,5,0,JULIE ROUSSEAU,6,2024/2025,GoPro,,beer spilled
G006345,2023-08-06,Sunday,YNOV TOULOUSE,373,7,10,BLUE,P0040,Antoine Rousseau,BLUE,DEFENSE,3,0,0,2,NONE,3,2024/2025,admin,,team spirit high
G004072,2025-04-10,Thursday,CAMPUS - CAFETERIA,780,9,1,RED,P0793,Emma Andre,BLUE,DEFENSE,0,0,0,0,DIEGO DURAND,3,2023/2024,GoPro,5,8 goals in one minute
G009376,2025-08-15,Friday,GYM HALL,1035,9,8,RED,P0734,Antoine Garcia,RED,DEFENSE,8,0,4,9,NONE,8,2024/2025,player phone,5,beer spilled
G023928,2025-12-05,Friday,YNOV TOULOUSE,780,2,9,BLUE,P0358,Julien Kovacs,RED,DEFENSE,2,1,2,9,NONE,4,2024/2025,admin,,close match
G008702,2025-10-31,Friday,YNOV TOULOUSE,853,2,5,BLUE,P0768,Alex Thomas,RED,ATTACK,2,0,2,9,JULIE SILVA,4,2024/2025,admin,1,amazing comeback!
G016480,2024-03-17,Sunday,YNOV TOULOUSE,1087,6,4,RED,P0616,Julie Durand,RED,DEFENSE,6,0,4,0,RILEY ROUSSEAU,5,2024/2025,referee,3,rage quit
G003438,2024-10-13,Sunday,YNOV TOULOUSE,600,10,3,RED,P0201,Maria Silva,RED,DEFENSE,5,0,1,8,NO,4,2025,phone,,amazing comeback!
G009168,2024-02-18,Sunday,SALLE POLYVALENTE,2110,8,2,RED,P0597,Ava Girard,RED,ATTACK,8,0,1,4,NONE,7,2024/2025,player phone,,team spirit high
G001541,2025-05-05,Monday,SALLE POLYVALENTE,2844,9,7,RED,P0380,Pierre Leroy,RED,ATTACK,8,0,0,9,YOUSSEF FAURE,2,2023/2024,auto_recorder,,no comment
G010424,2023-12-18,Monday,CAMPUS - CAFETERIA,1444,6,4,RED,P0340,Sofia Richard,BLUE,DEFENSE,2,0,4,6,ERIC MULLER,2,2023/2024,referee,,
G022772,2023-08-27,Sunday,STUDENT HOUSE,501,7,2,RED,P0024,Mila Schmidt,BLUE,DEFENSE,1,0,0,3,NONE,2,2024/2025,auto_recorder,,amazing comeback!
